file,class,method,variable,usage
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderSelection.java,sample.BidderSelection,setController/1[sample.Controller],controller,3
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,getObserver/0,observer,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,update/0,t,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,"initialize/2[java.net.URL,java.util.ResourceBundle]",t,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,setObserver/1[auctionPackage.IObserver],observer,3
C:\Users\MYPC\Auction-master\Auction-master\src\sample\BidderController.java,sample.BidderController,unsubscribe/1[sample.ActionEvent],observer,1
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,subscribe/1[auctionPackage.IObserver],observers,1
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,notifyBidders/0,currentBid,1
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,notifyBidders/0,stages,1
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,notifyBidders/0,observers,1
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,unsubscribe/1[auctionPackage.IObserver],observers,1
C:\Users\MYPC\Auction-master\Auction-master\src\auctionPackage\Auction.java,auctionPackage.Auction,raiseBid/1[int],currentBid,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Controller.java,sample.Controller,"initialize/2[java.net.URL,java.util.ResourceBundle]",t,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\Controller.java,sample.Controller,update/0,t,1
C:\Users\MYPC\Auction-master\Auction-master\src\sample\RaiseBid1.java,sample.RaiseBid1,confirm/1[sample.ActionEvent],bid,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\RaiseBid1.java,sample.RaiseBid1,confirm/1[sample.ActionEvent],tf1,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\RaiseBid.java,sample.RaiseBid,confirm/1[sample.ActionEvent],bid,2
C:\Users\MYPC\Auction-master\Auction-master\src\sample\RaiseBid.java,sample.RaiseBid,confirm/1[sample.ActionEvent],tf1,2
